"COMMON_NAME","SPECIES_CODE","YEAR","STRATUM","BIOMASS","stratum_resid_mean","stratum_resid_sd","n","stratum_resid_se","weighted_resid_mean","weighted_resid_se"
"Alaska plaice",10285,1997,10,111469.6,-0.0373931105287325,0.091810135448779,44,0.013840898692514,-0.0137400184274876,0.00508580859947458
"Alaska plaice",10285,1997,30,191892.08,-0.0828767956119992,0.0827247057484932,76,0.00948917453925842,-0.0524238944540438,0.00600239766545774
"Alaska plaice",10285,1999,10,104951.22,-0.0615833473036419,0.108714993128768,134,0.00939154499512374,-0.0142055469695493,0.00216636541185504
"Alaska plaice",10285,1999,20,93225.97,-0.115206208285622,0.087788956658265,39,0.0140574835541628,-0.023605867884919,0.00288039251106404
"Alaska plaice",10285,1999,30,107124,-0.0526412231536766,0.111623079081683,118,0.0102757373374255,-0.0123942408374531,0.00241939597358245
"Alaska plaice",10285,1999,40,149679.35,-0.142443956895938,0.0937181521672704,189,0.00681699248091915,-0.0468611665888218,0.00224265196814542
"Alaska plaice",10285,2000,10,73423.71,-0.0824376542688201,0.107012337414937,56,0.0143001250987337,-0.0135958561480428,0.00235841795191562
"Alaska plaice",10285,2000,20,39715.3,-0.0395915622465363,0.0689751259955944,66,0.00849025109928504,-0.0035318731456431,0.000757395974187784
"Alaska plaice",10285,2000,30,91404.7,-0.0378661665098901,0.107678483636317,180,0.00802588030416346,-0.00777435697246379,0.00164780499992087
"Alaska plaice",10285,2000,40,223147.56,0.0133445232401723,0.116654887983865,285,0.00691003919823549,0.00668867069884722,0.00346351652144349
"Alaska plaice",10285,2000,60,17508.97,-0.0218317138589361,0.116535239490343,54,0.0158584374335765,-0.000858604260870787,0.000623685434831231
"Alaska plaice",10285,2001,10,56534,-0.00874548968214447,0.102230131353559,51,0.0143150816921956,-0.000911306199262199,0.00149167435594571
"Alaska plaice",10285,2001,20,95238.3,-0.0549657705655578,0.0913269991728505,78,0.0103407463760761,-0.00964882508859073,0.00181523977634833
"Alaska plaice",10285,2001,30,125594.58,-0.0188872734016525,0.0862396681401105,140,0.00728858224549897,-0.0043723069500593,0.00168726941842679
"Alaska plaice",10285,2001,40,237283.75,-0.0365918887433361,0.0986024655194438,345,0.00530857829339828,-0.0160038068921386,0.00232175667332331
"Alaska plaice",10285,2001,60,27886.57,-0.0698469192629807,0.121552276101877,28,0.0229712209899589,-0.00359015198093598,0.00118072744527372
"Alaska plaice",10285,2002,10,47890.89,0.0690121278641491,0.0910348813130094,33,0.0158471387491738,0.0078114935677867,0.00179374011841333
"Alaska plaice",10285,2002,20,70635.27,-0.0183812737698595,0.0951828891117675,70,0.0113765312185488,-0.00306868963350811,0.001899272262235
"Alaska plaice",10285,2002,30,98797.81,-0.00495517061217235,0.0962210200715669,142,0.00807468863203505,-0.00115707546144927,0.00188551006740718
"Alaska plaice",10285,2002,40,184196.94,0.00310667862383214,0.100252716943352,399,0.00501891341487126,0.00135249134154714,0.00218498202083581
"Alaska plaice",10285,2002,60,21580.28,-0.0054228221626248,0.0947735162954792,16,0.0236933790738698,-0.000276591093160595,0.00120848101268694
"Alaska plaice",10285,2003,10,176613.05,0.0113574421770605,0.104566046748805,139,0.00886917632727348,0.0043713096138232,0.00341361330673646
"Alaska plaice",10285,2003,20,25030.87,0.0273075713049435,0.0766379600732599,51,0.010731460917112,0.0014895917696776,0.000585386949290981
"Alaska plaice",10285,2003,30,95331.11,0.0522234671399437,0.105140837253234,102,0.01041049416728,0.0108494717745042,0.00216278942805304
"Alaska plaice",10285,2003,40,153885.24,0.0265942796697939,0.127664496418565,159,0.0101244531324651,0.00891853335292054,0.00339528929014496
"Alaska plaice",10285,2003,60,8011.94,-0.00803245000008484,0.121413201018614,36,0.0202355335031023,-0.000140247123384699,0.000353313791425385
